Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
G2,26,25.291960,54.678100,179,12,Geltonoji 8-20h
G2,26,25.291410,54.678650,178,12,Geltonoji 8-20h
G2,26,25.291090,54.679090,177,12,Geltonoji 8-20h
G2,26,25.290770,54.679550,176,12,Geltonoji 8-20h
G2,26,25.290620,54.679520,175,12,Geltonoji 8-20h
G2,26,25.290620,54.679510,174,12,Geltonoji 8-20h
G2,26,25.290620,54.679510,173,12,Geltonoji 8-20h
G2,26,25.290620,54.679500,172,12,Geltonoji 8-20h
G2,26,25.290680,54.679430,171,12,Geltonoji 8-20h
G2,26,25.289300,54.679220,170,12,Geltonoji 8-20h
G2,26,25.288490,54.678750,168,12,Geltonoji 8-20h
G2,26,25.290590,54.674240,188,12,Geltonoji 8-20h
G2,26,25.287800,54.676710,147,12,Geltonoji 8-20h
G2,26,25.287000,54.676650,145,12,Geltonoji 8-20h
G2,26,25.285470,54.676070,123,12,Geltonoji 8-20h
G2,26,25.285220,54.675930,122,12,Geltonoji 8-20h
G2,26,25.285220,54.675930,121,12,Geltonoji 8-20h
G2,26,25.285160,54.675900,120,12,Geltonoji 8-20h
G2,26,25.285160,54.675900,119,12,Geltonoji 8-20h
G2,26,25.285020,54.675820,118,12,Geltonoji 8-20h
G2,26,25.285020,54.675820,117,12,Geltonoji 8-20h
G2,26,25.284980,54.675800,116,12,Geltonoji 8-20h
G2,26,25.284980,54.675800,115,12,Geltonoji 8-20h
G2,26,25.284910,54.675760,114,12,Geltonoji 8-20h
G2,26,25.284910,54.675760,113,12,Geltonoji 8-20h
G2,26,25.284870,54.675740,112,12,Geltonoji 8-20h
G2,26,25.284870,54.675740,111,12,Geltonoji 8-20h
G2,26,25.284860,54.675730,110,12,Geltonoji 8-20h
G2,26,25.284670,54.675790,109,12,Geltonoji 8-20h
G2,26,25.284580,54.675830,108,12,Geltonoji 8-20h
G2,26,25.284570,54.675830,107,12,Geltonoji 8-20h
G2,26,25.285470,54.676070,124,12,Geltonoji 8-20h
G2,26,25.287230,54.676660,146,12,Geltonoji 8-20h
G2,26,25.285570,54.676120,125,12,Geltonoji 8-20h
G2,26,25.285620,54.676140,127,12,Geltonoji 8-20h
G2,26,25.286930,54.676650,144,12,Geltonoji 8-20h
G2,26,25.286850,54.676660,143,12,Geltonoji 8-20h
G2,26,25.286560,54.676680,142,12,Geltonoji 8-20h
G2,26,25.286550,54.676620,141,12,Geltonoji 8-20h
G2,26,25.286550,54.676620,140,12,Geltonoji 8-20h
G2,26,25.286550,54.676620,139,12,Geltonoji 8-20h
G2,26,25.286480,54.676580,138,12,Geltonoji 8-20h
G2,26,25.286480,54.676580,137,12,Geltonoji 8-20h
G2,26,25.286470,54.676580,136,12,Geltonoji 8-20h
G2,26,25.286470,54.676580,135,12,Geltonoji 8-20h
G2,26,25.286360,54.676520,134,12,Geltonoji 8-20h
G2,26,25.286360,54.676520,133,12,Geltonoji 8-20h
G2,26,25.286350,54.676520,132,12,Geltonoji 8-20h
G2,26,25.285630,54.676150,131,12,Geltonoji 8-20h
G2,26,25.285630,54.676150,130,12,Geltonoji 8-20h
G2,26,25.285630,54.676150,129,12,Geltonoji 8-20h
G2,26,25.285630,54.676150,128,12,Geltonoji 8-20h
G2,26,25.285620,54.676140,126,12,Geltonoji 8-20h
G2,26,25.275020,54.685680,355,12,Geltonoji 8-20h
G2,26,25.275670,54.685290,361,12,Geltonoji 8-20h
G2,26,25.275340,54.685490,357,12,Geltonoji 8-20h
R,15,25.285550,54.689820,82,29,Raudonoji 8-22h
R,15,25.285030,54.690080,81,29,Raudonoji 8-22h
R,15,25.284810,54.690210,80,29,Raudonoji 8-22h
R,15,25.284790,54.690220,79,29,Raudonoji 8-22h
R,15,25.284780,54.690230,78,29,Raudonoji 8-22h
R,15,25.284720,54.690260,77,29,Raudonoji 8-22h
R,15,25.284630,54.690300,76,29,Raudonoji 8-22h
R,15,25.285770,54.689700,83,29,Raudonoji 8-22h
R,15,25.284520,54.690350,75,29,Raudonoji 8-22h
R,15,25.284250,54.690460,73,29,Raudonoji 8-22h
R,15,25.284140,54.690520,72,29,Raudonoji 8-22h
R,15,25.284040,54.690570,71,29,Raudonoji 8-22h
R,15,25.283750,54.690690,70,29,Raudonoji 8-22h
R,15,25.283580,54.690740,69,29,Raudonoji 8-22h
R,15,25.283350,54.690810,68,29,Raudonoji 8-22h
R,15,25.283150,54.690870,67,29,Raudonoji 8-22h
R,15,25.284440,54.690390,74,29,Raudonoji 8-22h
R,15,25.285830,54.689670,84,29,Raudonoji 8-22h
R,15,25.286110,54.689490,85,29,Raudonoji 8-22h
R,15,25.286390,54.689340,86,29,Raudonoji 8-22h
R,15,25.290690,54.688700,103,29,Raudonoji 8-22h
R,15,25.290500,54.688680,102,29,Raudonoji 8-22h
R,15,25.289480,54.688590,101,29,Raudonoji 8-22h
R,15,25.289190,54.688590,100,29,Raudonoji 8-22h
R,15,25.289150,54.688590,99,29,Raudonoji 8-22h
R,15,25.288940,54.688590,98,29,Raudonoji 8-22h
R,15,25.288450,54.688650,97,29,Raudonoji 8-22h
R,15,25.288070,54.688710,96,29,Raudonoji 8-22h
R,15,25.287800,54.688780,95,29,Raudonoji 8-22h
R,15,25.287550,54.688830,94,29,Raudonoji 8-22h
R,15,25.287550,54.688830,93,29,Raudonoji 8-22h
R,15,25.287340,54.688920,92,29,Raudonoji 8-22h
R,15,25.287210,54.688960,91,29,Raudonoji 8-22h
R,15,25.287110,54.689000,90,29,Raudonoji 8-22h
R,15,25.286850,54.689110,89,29,Raudonoji 8-22h
R,15,25.286620,54.689210,88,29,Raudonoji 8-22h
R,15,25.286490,54.689280,87,29,Raudonoji 8-22h
R,15,25.282920,54.690890,66,29,Raudonoji 8-22h
R,15,25.282870,54.690900,65,29,Raudonoji 8-22h
R,15,25.282840,54.690900,64,29,Raudonoji 8-22h
R,15,25.282580,54.690930,63,29,Raudonoji 8-22h
R,15,25.279610,54.691120,41,29,Raudonoji 8-22h
R,15,25.279560,54.691130,40,29,Raudonoji 8-22h
R,15,25.279330,54.691160,39,29,Raudonoji 8-22h
R,15,25.279290,54.691160,38,29,Raudonoji 8-22h
R,15,25.279270,54.691170,37,29,Raudonoji 8-22h
R,15,25.278970,54.691200,36,29,Raudonoji 8-22h
R,15,25.278890,54.691210,35,29,Raudonoji 8-22h
R,15,25.278630,54.691240,34,29,Raudonoji 8-22h
R,15,25.278390,54.691260,33,29,Raudonoji 8-22h
R,15,25.278090,54.691300,32,29,Raudonoji 8-22h
