"SHA1(sms_receive_source_phone)";"sms_receive_operator";"FROM_UNIXTIME(sms_receive_date)";"sms_receive_body"
"3909905d129b1b55bec26d084f180e6e4a1cf1a7";"2";"2017-04-05 08:11:02";"Start Z"
"4bc860f4bcdfca1fb06a4c85ae76e7b0cb32d7ea";"1";"2017-04-05 08:11:12";"Start R"
"12b9312e3f272e7d8aa17616cd1610cc8db3e6f8";"1";"2017-04-05 08:11:36";"Stop"
"ca97878f80c6c69811c76b3d61561928b994e0e9";"3";"2017-04-05 08:11:42";"Start z"
"670dc67ee00cba8d313ed902d5b01a58ebc9f5df";"1";"2017-04-05 08:11:46";"START G"
"aeabbcc1b7e6fe80669f608f9f340a1584a41cbe";"1";"2017-04-05 08:11:46";"Start g "
"eb23f7d171f2db3070cc8ca6d53daf55231cb743";"2";"2017-04-05 08:11:57";"Start r"
"a328e7d8c0df207f3cf3638e2a3950f9c30463f7";"3";"2017-04-05 08:11:57";"Start z"
"12a780788605f9b764cefb98ffbee8c66a1f5144";"3";"2017-04-05 08:12:02";"Start g "
"a790591181ceb0ebd5ff443476d9623cfaf63416";"2";"2017-04-05 08:12:17";"START Z"
"646fcf039dd21396469459c42de4ad43b7412e04";"2";"2017-04-05 08:12:22";"Start g"
"bd5de989ca010cd0f88f2b353e5bfb6a45c5182c";"2";"2017-04-05 08:12:37";"Start M"
"56767dd1308cc6ceada438b936e73ea3eb5166bf";"1";"2017-04-05 08:12:49";"Stop"
"144149374caf62cbc6887b70a80ed9bcb53271a0";"1";"2017-04-05 08:13:01";"Start g"
"96a9c3095f331d24677bbd956138a8b54fa6c569";"2";"2017-04-05 08:13:33";"Stop"
"000d32d154471e22dbef2c07e9a1a3bfc86d5ecb";"2";"2017-04-05 08:13:37";"Start "
"2f6f2a419d976a80fe438faaed91dc85246bf533";"1";"2017-04-05 08:13:51";"Start r"
"0900f1b816cd8eb1fd4ba29e5119b825a8a0b4a6";"1";"2017-04-05 08:13:53";"Start g"
"0a590d20e9b3751ea25b4fcc70ff078fbb1d102b";"1";"2017-04-05 08:13:59";"Start G"
"8bbc839ca78d4f15e771e65b7411e760c379f53e";"1";"2017-04-05 08:14:04";"Stop"
"6aef98396b829c3128cff5b9206d924f6a2edb7d";"1";"2017-04-05 08:14:10";"Start r "
"0a271f415ffe0493c7d6cebef855ba35437fccc8";"1";"2017-04-05 08:14:11";"Start r"
"285ce9f0560db718a3f4a45329988282c724b4c4";"1";"2017-04-05 08:14:17";"Start Z"
"6accc1055827f792dce1df34eaae8fbcc209a4db";"3";"2017-04-05 08:14:21";"Start R"
"bb78f9740bece656e0d982400b3332c3ac2ea1f3";"1";"2017-04-05 08:14:41";"Start Z"
"045762b67a5498c7ca82c667d3b398d86377290f";"2";"2017-04-05 08:15:08";"START G"
"8d3fae453a663dc7d6116483011f93fdba41abe2";"3";"2017-04-05 08:15:15";"Start g"
"d90e796de175cf72f48d4cde287aa5bf969748f3";"1";"2017-04-05 08:15:17";"Start g"
"a95abeccbbcf1d53c5fb36e39c1d5c649b3da98e";"3";"2017-04-05 08:15:23";"Start g"
"246c88f4d470d1316b92a77b5cf7ec7017c084ef";"1";"2017-04-05 08:15:24";"Start Z"
"fe56723141f8d6a67e32c248bc57f21c7ff0e30e";"1";"2017-04-05 08:15:24";"Start r"
"dc087e191b86e1f7fc6d05acdf3d44b0132d6b57";"2";"2017-04-05 08:15:27";"START G"
"b0cf5b3519957759a97d1c3b72e9e8e4a3a4cccb";"3";"2017-04-05 08:15:36";"Start g"
"0eb3d907685e3f8562f73c2a0973d6273ce2ad26";"3";"2017-04-05 08:15:50";"Start Z"
"e4d804df9850fd64cf0f0200b12f3149da299be1";"1";"2017-04-05 08:16:08";"Start R"
"191661ce79576f3d4cd7ce6b351e27e039a5345f";"1";"2017-04-05 08:16:26";"Start z"
"885c4ab91f546f267d6ff0ac72c727d519c5ab93";"3";"2017-04-05 08:17:04";"STOP"
"2a7c50b7968f9d5ced14cb3bdcd41e0f2fe95e03";"2";"2017-04-05 08:17:07";"Start z"
"07f70d5e7a0cc79c6f8f8f0f479b5d0a5fbd9d6e";"3";"2017-04-05 08:17:13";"START G"
"a6ce5da32121f14852f71738067d5dd9a01321d4";"1";"2017-04-05 08:17:37";"Stop"
"e35a2f0a6976411dbb8e40633a7c780c4ad6c3c0";"1";"2017-04-05 08:17:45";"Stop"
"932da25984cef65fb55a54dd91d396401d46e5c8";"2";"2017-04-05 08:17:53";"Start m"
"c442fa60f608c3bb53e7fcc1b8c2fc0ac21bff70";"3";"2017-04-05 08:18:25";"Stop"
"c45460ee24668fb0266c29970ea4644411585234";"1";"2017-04-05 08:18:26";"Start g"
"f62849b06c42428ca587dcafd3bb6ad2bda78168";"1";"2017-04-05 08:18:34";"Stop"
"499c97972d737902beac7b9bf9be6424605ee5ca";"2";"2017-04-05 08:18:43";"Start R"
"0eb3d907685e3f8562f73c2a0973d6273ce2ad26";"3";"2017-04-05 08:18:57";"Sn"
"f57320542dd8ede8a8226d9d5c79104e5262fd31";"1";"2017-04-05 08:18:58";"Stop"
"63ab4298d6690a30763457fb9f4aa40bc5eec226";"2";"2017-04-05 08:19:18";"Start Z"
"57236f8cabf4e9b3d01f0ac011aaa6419b8d6856";"2";"2017-04-05 08:19:34";"START G"
"1d5784aaab09044b66d010e623893a20c7580adb";"1";"2017-04-05 08:19:37";"Start g"
"c48c0f572f43a3c17e754d927f8983317ca5a51d";"1";"2017-04-05 08:19:55";"Start Z"
"a3e927893ab00675a086f226edde0d5b7bd9f88f";"3";"2017-04-05 08:19:56";"Start r"
"c795dae2182ef9a87e73270a7071498e76f990b1";"1";"2017-04-05 08:20:09";"START G"
"07ab0f6ac31f15aefaa06cfeda0969a7992c7ebf";"2";"2017-04-05 08:20:12";"Start z"
"5ef2be9a8dee2549e4611428a7fdcffbb66c87e1";"1";"2017-04-05 08:20:37";"STOP"
"d5a0fbc11e3753c1b4a67641c6bab41045e2f9fd";"3";"2017-04-05 08:20:49";"Start G"
"17caee58aab57d733d2b7545033a4f0259e6d092";"3";"2017-04-05 08:20:53";"Stop"
"950bc254fbae01b3f9611ff38b634ff802088f3e";"1";"2017-04-05 08:21:01";"Start Z"
"98aa5cd49548967c40dc6eda18abcaa9015f8027";"2";"2017-04-05 08:21:03";"Start g "
"4ce15f233590caa58b29298a00efdad1f2ff3f7d";"3";"2017-04-05 08:21:24";"Start z"
"75b73c7a55546b924261988093e293fb837e3801";"1";"2017-04-05 08:21:26";"Start G"
"ea21bc423ed1103de2c2bed337f27677ccf019b3";"1";"2017-04-05 08:21:31";"Stop"
"b6e5c64f8cb65d9d372baf6eb237bc57c282c3a4";"2";"2017-04-05 08:21:48";"Stop"
"37d023085de00f43761f2f4f49e9e8cabdefa378";"2";"2017-04-05 08:21:54";"START G"
"c8d9d9b513a0f613a93cb26c17a027cb452df6b9";"3";"2017-04-05 08:22:02";"START R"
"8f15fdc75394f0aa8f0e6bd044a9dfb8eb51129d";"1";"2017-04-05 08:22:12";"Start r"
"e36c249d1f85199c2fbca762e4d0d83516262937";"1";"2017-04-05 08:22:20";"START G "
"b1313caac6084e706fe14707abf3a92b67575078";"2";"2017-04-05 08:22:28";"Start G"
"b95792f7431f18555b6f783837580155cb4793e3";"3";"2017-04-05 08:22:32";"Start z"
"1d8b1b5ecd322912d6238fd8701b8c87888b83fd";"1";"2017-04-05 08:22:44";"Start Z"
"2d555bdb4414bb4f4b1b6be0cb2433e69a7c2cd3";"1";"2017-04-05 08:23:00";"START Z "
"71a4f2802deeb4daef265eb54250a6f6d22df450";"1";"2017-04-05 08:23:01";"START G"
"5996f3476686101fc2b7ad72dc0489aa8a5b3719";"2";"2017-04-05 08:23:03";"Start g"
"0e77f15d579e974ddcb7c18353af2eada224fea8";"2";"2017-04-05 08:23:03";"Stop"
"f491989d013f0f9f8a63a04e1f462588087992dd";"2";"2017-04-05 08:23:23";"Start g "
